StartDate,Finished,DistributionChannel,Q1,Q115_15,Age,Gender,Race_Ethnicity_1,Race_Ethnicity_2,Race_Ethnicity_3,Race_Ethnicity_4,Race_Ethnicity_5,Race_Ethnicity_6,Race_Ethnicity_7,Race_Ethnicity_8,Race_Ethnicity_9,Race_Ethnicity_10,Race_Ethnicity_11,Race_Ethnicity_10_TEXT,Income,Education,SES,Political_overall,Religiosity,God,Faith_1,Faith_10,Faith_11,Faith_12,Faith_13,Faith_2,Faith_3,Faith_6,Faith_8,Faith_8_TEXT
2025-01-09 15:50:47,1,anonymous,5,4,28,1,,,,,,,,,1,,,,5,3,4,5,2,1,,,1,1,,,,,,
2025-01-09 15:52:16,1,anonymous,5,1,48,1,,,,,,,,,1,,,,10,4,6,4,1,2,1,,,,,,,,,
2025-01-09 15:51:42,1,anonymous,5,2,32,1,,,,,,,,,1,,,,8,5,6,3,1,2,1,,,,,,,,,
2025-01-09 15:52:48,1,anonymous,5,1,19,1,,,,,,,,,1,,,,7,2,7,6,3,1,,,,1,,,,,,
2025-01-09 15:53:32,1,anonymous,5,1,26,2,1,,,,,,,,1,,,,6,2,5,2,3,1,,,,1,,,,,,
2025-01-09 15:54:48,1,anonymous,5,3,27,2,,,,,,,,1,,,,,4,4,6,4,3,2,,,1,,,,,,,
2025-01-09 15:53:09,1,anonymous,5,1,58,2,,,,,,,,,1,,,,21,6,7,2,2,2,,,,,,,,,1,Unitarian
2025-01-09 15:51:57,1,anonymous,5,1,30,2,,,,,,,,,1,,,,12,6,7,2,3,1,,,,,,,,,1,Culturally Catholic
2025-01-09 15:58:51,1,anonymous,5,1,29,2,,,,,,,,,1,,,,4,5,6,7,3,1,,,,1,,,,,,
2025-01-09 15:51:50,1,anonymous,5,3,54,1,1,,,,,,,,,,,,21,6,6,7,4,1,,,,1,,,,,,
2025-01-09 15:53:08,1,anonymous,5,3,20,1,1,,,,,,,,,,,,16,5,7,6,4,1,,,,1,,,,,,
2025-01-09 15:50:57,1,anonymous,5,3,23,1,1,,,,,,,,,,,,5,5,4,4,3,1,,,,,,,1,,,
2025-01-09 15:56:29,1,anonymous,5,1,22,2,1,,,,,,,,1,,,,21,3,6,6,3,1,,,,1,,,,,,
2025-01-09 15:52:37,1,anonymous,5,1,32,2,,,,,,,,,1,,,,15,6,8,3,1,1,,,,,,,,,,
2025-01-09 15:54:50,1,anonymous,5,1,22,2,,,,,,,,,1,,,,3,3,4,1,1,3,,,,1,,,,,,
2025-01-09 15:55:33,1,anonymous,5,2,39,2,,,,,,,,,1,,,,8,5,4,2,2,1,,,,1,,,,,,
2025-01-09 15:58:34,1,anonymous,5,1,34,1,,,,,,,,,1,,,,1,5,4,1,1,2,,1,,,,,,,,
2025-01-09 15:55:17,1,anonymous,5,3,60,2,,,,,,,,,1,,,,6,5,8,2,3,1,,,,1,,,,,,
2025-01-09 15:58:11,1,anonymous,5,3,19,2,1,,,,,,,,,,,,21,5,8,2,4,1,,,,1,,,,,,
2025-01-09 15:58:07,1,anonymous,5,1,40,1,,,,,,,,,1,,,,21,2,7,7,1,2,,,,,,,,,,
2025-01-09 16:00:01,1,anonymous,5,1,20,2,,,1,,,,,,1,,,,21,3,9,5,1,2,,1,,,,,,,,
2025-01-09 15:52:21,1,anonymous,5,1,45,1,,,,,,,,,1,,,,1,6,2,5,4,1,,,,1,,,,,,
2025-01-09 16:01:37,1,anonymous,5,1,23,2,,1,,,,,,,,,,,11,5,5,4,3,1,1,,,,,,,,,
2025-01-09 15:52:03,1,anonymous,5,3,32,1,,,1,,,,,,,,,,5,5,3,5,2,1,1,,1,1,,,,,,
2025-01-09 15:59:20,1,anonymous,5,1,66,2,,,,,,,,,1,,,,13,6,6,4,4,1,,,,1,,,,,,
2025-01-09 15:54:59,1,anonymous,5,1,30,1,,,,,,,1,,,,,,9,6,7,1,2,1,,,,,1,,,,,
2025-01-09 15:56:51,1,anonymous,5,1,48,2,,,,,,,,,1,,,,7,3,5,6,1,1,1,,,,,,,,,
2025-01-09 16:01:25,1,anonymous,5,3,41,1,,,1,,,,,,1,,,,4,5,7,6,4,1,,,,,1,,,,,
2025-01-09 16:00:54,1,anonymous,5,3,42,1,1,,,,,1,,,1,,,,5,4,5,6,4,1,,,,1,,,,,,
2025-01-09 15:54:02,1,anonymous,5,1,35,1,,,,,,,,,1,,,,4,5,4,3,3,1,,,,1,,,,,,
2025-01-09 15:59:18,1,anonymous,5,1,30,1,,,,,,,,,,,1,,16,5,7,4,1,3,,,,,,,,,1,
2025-01-09 15:54:05,1,anonymous,5,4,34,2,1,,,,,,,,,,,,3,5,7,5,4,1,,,,1,,,,,,
2025-01-09 16:01:23,1,anonymous,5,1,73,2,,,,,,,,,1,,,,2,3,5,2,1,3,1,,,,,,,,,
2025-01-09 15:58:46,1,anonymous,5,1,51,1,,,,,,,,,1,,,,6,6,6,4,3,1,,,,1,,,,,,
2025-01-09 15:59:24,1,anonymous,5,1,25,1,,,1,,,,,,,,,,1,5,8,2,2,1,1,,,1,,,,,,
2025-01-09 15:58:19,1,anonymous,5,3,36,2,,1,,,,,,,,,,,6,,5,3,3,1,,,1,,,,,,,
2025-01-09 15:58:38,1,anonymous,5,3,38,1,,,,,,,,,1,,,,6,5,6,4,3,1,,,,,,,,,1,
2025-01-09 16:03:37,1,anonymous,5,2,34,1,,,,1,,,,,,,,,2,5,2,3,4,1,,,,1,,,,,,
2025-01-09 16:02:53,1,anonymous,5,5,28,1,,,,,,,1,1,,,,,3,5,5,4,2,1,1,,,,,,,,,
2025-01-09 16:02:14,1,anonymous,5,4,42,2,,,,,,1,,,,,,,12,5,7,3,1,2,1,,,,,,,,,
2025-01-09 15:59:52,1,anonymous,5,1,44,1,1,,,,,,,,,,,,7,5,5,4,3,1,,,,1,,,,,,
2025-01-09 15:55:11,1,anonymous,5,5,22,1,1,,,,,,,,,,,,15,6,7,6,2,1,,,,1,,,,,,
2025-01-09 15:57:48,1,anonymous,5,3,35,2,,,,,,,,,1,,,,10,,7,2,2,1,,,,1,,,,,,
2025-01-09 15:53:26,1,anonymous,5,4,39,2,1,,,,,,,,,,,,2,6,7,7,4,1,,,,1,,,,,,
2025-01-09 15:51:28,1,anonymous,5,1,25,2,,,,,,,,,1,,,,9,6,7,1,2,3,,,,1,,1,,,,
2025-01-09 16:03:47,1,anonymous,5,4,20,2,1,,,,,,,,,,,,10,5,10,7,4,1,,,,,,,1,,,
2025-01-09 15:55:30,1,anonymous,5,5,36,1,,,,,,,,,1,,,,18,5,7,4,4,1,,,,1,,,,,,
2025-01-09 15:59:19,1,anonymous,5,1,45,2,,,,,,,,,1,,,,10,3,7,2,3,1,,,,1,,,,,,
2025-01-09 16:07:21,1,anonymous,5,4,28,2,,,,,,,,,1,,,,5,6,7,2,1,2,,1,,,,,,,,
2025-01-09 16:01:23,1,anonymous,5,5,67,1,1,,,,,,,,,,,,8,5,6,2,4,1,,,,1,,,,,,
2025-01-09 15:52:34,1,anonymous,5,4,29,1,1,,,,,,,,,,,,11,5,9,2,3,1,,,,1,,,,,,
2025-01-09 15:58:40,1,anonymous,5,1,84,2,,,,,,,,,1,,,,3,5,6,4,2,1,,,,1,,,,,,
2025-01-09 15:51:46,1,anonymous,5,4,23,1,1,,,,,,,,,,,,8,5,3,4,4,1,,,,1,,,,,,
2025-01-09 15:52:35,1,anonymous,5,3,32,1,,,,,,,,,1,,,,1,2,4,6,2,1,,,,1,,,,,,
2025-01-09 15:54:32,1,anonymous,5,1,37,2,,,1,,,,,,,,,,4,4,3,2,3,3,1,,1,,,,,,,
2025-01-09 16:03:00,1,anonymous,5,2,34,1,,,,,,,,,1,,,,2,4,3,2,1,2,,1,,,,,,,,
2025-01-09 15:53:42,1,anonymous,5,1,54,2,,,,,,,,,1,,,,21,6,6,6,3,1,,,,1,,,,,,
2025-01-09 16:03:08,1,anonymous,5,1,32,1,,,,,,,,,1,,,,2,3,4,1,1,2,1,,1,,,,,,,
2025-01-09 15:55:15,1,anonymous,5,3,22,1,1,,,,,,,,,,,,11,5,5,6,3,1,,,,1,,,,,,
2025-01-09 15:53:30,1,anonymous,5,3,29,1,,,,,,,,,1,,,,11,6,6,4,3,1,,,,1,,,,,,
2025-01-09 16:02:44,1,anonymous,5,2,29,1,1,,,,,,,,,,,,1,2,1,1,3,1,,,,1,,,,,,
2025-01-09 15:52:07,1,anonymous,5,1,44,2,,,,,,,,,1,,,,20,5,8,2,1,2,,1,,,,,,,,
2025-01-09 15:54:07,1,anonymous,5,1,18,1,,,,,,,,,,,1,,21,4,7,3,2,2,,,,,,,,,1,
2025-01-09 16:04:37,1,anonymous,5,2,35,1,,,,,,,,,1,,,,8,4,4,1,3,1,,,,1,,,,,,
2025-01-09 15:59:55,1,anonymous,5,2,59,1,,,,,,,,,1,,,,7,2,6,6,1,3,,,,,,,,,1,
2025-01-09 15:53:41,1,anonymous,5,3,20,1,,,,,,,,,1,,,,1,5,4,4,2,1,,,,1,,,,,,
2025-01-09 15:52:52,1,anonymous,5,3,27,1,1,,,,,,,,,,,,2,5,4,4,4,1,,,,1,,,,,,
2025-01-09 16:02:07,1,anonymous,5,3,21,2,,1,,,,,,,,,,,2,3,4,2,,3,,,,,,,,,1,nothing in particular
2025-01-09 16:02:40,1,anonymous,5,1,46,2,,,,,,,1,,,,,,11,6,5,4,3,1,,,,1,,,,,,
2025-01-09 15:56:33,1,anonymous,5,5,19,1,1,,,,,,,,,,,,1,3,5,6,4,1,,,,1,,,,,,
2025-01-09 16:02:09,1,anonymous,5,4,22,1,1,,,,,,,,,,,,1,2,5,6,4,1,,,,1,,,,,,
2025-01-09 15:57:53,1,anonymous,5,3,42,1,1,,,,,,,,,,,,12,6,6,6,3,1,,,,1,,,,,,
2025-01-09 16:09:12,1,anonymous,5,4,42,2,,,,,,,,,1,,,,13,4,6,5,2,1,,,,1,,,,,,
2025-01-09 15:52:59,1,anonymous,5,4,44,1,1,,,,,,,,,,,,4,5,5,7,4,1,,,,1,,,,,,
2025-01-09 16:00:20,1,anonymous,5,1,45,1,,,,,,,,,1,,,,5,2,2,5,2,1,,,,1,,,,,,
2025-01-09 16:01:54,1,anonymous,5,4,75,1,,,,,,,,,1,,,,6,3,4,5,3,1,,,,1,,,,,,
2025-01-09 16:02:09,1,anonymous,5,1,50,1,,,,,,,,,1,,,,12,5,7,2,1,2,,1,,,,,,,,
2025-01-09 16:12:57,1,anonymous,5,3,22,1,1,,,,,,,,,,,,14,5,7,4,4,1,,,,1,,,,,,
2025-01-09 16:02:56,1,anonymous,5,4,23,1,1,,,,,,,,,,,,1,5,4,4,1,3,1,,,,,,,,,
2025-01-09 16:01:45,1,anonymous,5,4,23,1,1,,,,,,,,,,,,10,5,5,7,4,1,,,,1,,,,,,
2025-01-09 16:02:31,1,anonymous,5,3,38,1,1,,,,,,,,,,,,3,5,4,2,2,1,,,1,,,,,,,
2025-01-09 15:54:26,1,anonymous,5,3,22,1,1,,,,,,,,,,,,6,5,5,2,3,1,,,,1,,,,,,
2025-01-09 16:06:15,1,anonymous,5,2,48,2,,,,,,,,,1,,,,14,4,7,3,1,2,,1,,,,,,,,
2025-01-09 16:17:57,1,anonymous,5,5,19,1,1,,,,,,,,,,,,6,5,5,4,2,1,,,,1,,,,,,
2025-01-09 16:11:42,1,anonymous,5,4,21,1,1,,,,,,,,,,,,7,5,4,2,4,1,,,,1,,,,,,
2025-01-09 15:58:43,1,anonymous,5,2,41,2,,,,,,,,,1,,,,10,6,6,2,2,1,,,,1,,,,,,
2025-01-09 16:03:07,1,anonymous,5,3,32,1,1,,,,,,,,,,,,16,5,7,2,4,1,,,,1,,,,,,
2025-01-09 16:02:59,1,anonymous,5,4,24,2,,,,,,,,,1,,,,15,5,5,2,4,1,,,,1,,,,,,
2025-01-09 16:06:18,1,anonymous,5,3,21,1,1,,,,,,,,,,,,1,5,5,6,3,1,,,,1,,,,,,
2025-01-09 15:55:24,1,anonymous,5,1,70,2,1,,,,,,,,,,,,8,3,6,3,3,1,,,,1,,,,,,
2025-01-09 15:58:43,1,anonymous,5,2,42,2,,,,,,,,,1,,,,,5,4,6,3,1,,,,1,,,,,,
2025-01-09 16:09:01,1,anonymous,5,1,32,2,,,,,,,,,1,,,,9,5,7,3,1,2,,1,,,,,,,,
2025-01-09 16:49:13,1,anonymous,5,1,29,2,,,1,,,,,,,,,,6,4,4,2,1,1,,,,,,,,,1,None. I believe in God but have no religious affiliation
2025-01-09 15:56:44,1,anonymous,5,1,39,2,1,,,,,,,,,,,,10,6,6,3,4,1,,,,1,,,,,,
2025-01-09 16:45:29,1,anonymous,5,4,21,1,1,,,,,,,,,,,,1,5,6,6,3,1,,,,1,,,,,,
2025-01-09 16:55:01,1,anonymous,5,2,26,2,,,1,,,,,,,,,,10,5,6,5,1,2,1,,,,,,,,,
2025-01-09 17:00:37,1,anonymous,5,1,30,1,,,,,,,,,1,,,,3,3,2,4,1,2,1,,,,,,,,,
2025-01-09 17:00:39,1,anonymous,5,1,54,2,,,,,,,,,1,,,,5,3,4,3,3,1,,,,1,,,,,,
2025-01-09 17:00:36,1,anonymous,5,1,37,1,1,,,,,,,,,,,,9,2,4,3,1,3,,,,,,,,,1,
2025-01-09 16:47:42,1,anonymous,5,3,53,1,,,,,,,,,1,,,,7,5,8,4,3,1,,,,1,,,,,,
2025-01-09 17:00:34,1,anonymous,5,4,18,2,1,,,,,,,,,,,,5,5,4,5,3,1,,,,1,,,,,,
2025-01-09 17:00:33,1,anonymous,5,1,39,2,,,,,,,,,1,,,,2,1,3,4,2,3,1,,,,,,,,,
2025-01-09 17:00:40,1,anonymous,5,2,20,2,,,,,,,,,1,,,,6,3,5,6,3,1,,,,1,,,,,,
2025-01-09 17:15:52,1,anonymous,5,3,31,1,,,,,,,,,1,,,,11,6,10,6,3,1,,,,1,,,,,,
2025-01-09 15:39:52,0,anonymous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 15:51:08,0,anonymous,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 15:53:14,0,anonymous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 15:54:25,0,anonymous,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 15:56:03,0,anonymous,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 15:57:03,0,anonymous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 15:58:10,0,anonymous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 16:00:25,0,anonymous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 16:01:01,0,anonymous,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 16:01:11,0,anonymous,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 16:01:57,0,anonymous,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 16:03:23,0,anonymous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 16:05:00,0,anonymous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 16:05:26,0,anonymous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 16:14:35,0,anonymous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 16:43:36,0,anonymous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-09 16:46:50,0,anonymous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
