StartDate,Finished,DistributionChannel,Q1,110 Rules_111,110 Rules_112,110 Rules_113,110 Rules_114,110 Rules_115,110 Rules_116,110 Rules_117,Moral Source _13,Age,Gender,Race_Ethnicity_1,Race_Ethnicity_2,Race_Ethnicity_3,Race_Ethnicity_4,Race_Ethnicity_5,Race_Ethnicity_6,Race_Ethnicity_7,Race_Ethnicity_8,Race_Ethnicity_9,Race_Ethnicity_10,Race_Ethnicity_11,Race_Ethnicity_10_TEXT,Income,Education,SES,Political_overall,Religiosity,God,Faith_1,Faith_2,Faith_3,Faith_4,Faith_5,Faith_6,Faith_7,Faith_8,Faith_9,Faith_9_TEXT
2024-11-22 09:02:53,1,anonymous,5,1,3,5,6,2,4,7,3,20,1,1,,,,,,,,,,,,4,5,6,6,4,1,,,,1,,,,,,
2024-11-22 09:11:19,1,anonymous,5,1,5,5,6,2,1,7,3,36,1,1,,,,,,,,,,,,4,5,4,3,2,1,,,,1,,,,,,
2024-11-22 09:20:05,1,anonymous,5,7,6,4,6,7,7,7,2,33,2,,,,,,,,,1,,,,11,4,4,1,3,1,,1,,,,,,,,
2024-11-22 09:04:50,1,anonymous,5,1,3,5,6,2,4,7,1,27,1,,1,,,,,,,,,,,3,5,3,4,1,2,,,,,,,,,1,Nothing in particular
2024-11-22 09:12:10,1,anonymous,5,1,3,5,6,2,4,7,1,31,3,,,,,,,,,1,,,,2,1,2,1,1,2,1,,,,,,,,,
2024-11-22 09:21:14,1,anonymous,5,1,5,5,6,2,4,7,3,33,1,,,1,,,,1,,,,,,5,2,4,3,1,1,1,,,,,,,,,
2024-11-22 09:08:29,1,anonymous,5,1,3,5,6,6,4,7,1,31,1,1,,,,,,,,,,,,5,2,4,4,3,1,,,,1,,,,,,
2024-11-22 09:17:33,1,anonymous,5,1,3,3,6,2,4,7,3,43,1,,,,,,,,,1,,,,21,6,6,3,1,2,,,1,,,,,,,
2024-11-22 09:14:13,1,anonymous,5,1,3,5,6,2,4,7,4,39,2,,,,,,,,,1,,,,6,6,5,6,4,1,,,,1,,,,,,
2024-11-22 09:26:35,1,anonymous,5,1,3,5,6,2,4,7,1,31,1,,,,,,,,,1,,,,3,2,2,3,4,1,,,,1,,,,,,
2024-11-22 09:00:20,1,anonymous,5,1,3,5,6,2,4,7,2,38,2,1,,,,,,,,,,,,7,6,8,2,3,1,,,,,,,1,,,
2024-11-22 09:30:17,1,anonymous,5,1,3,5,2,2,4,7,4,35,1,,,,,,,,,1,,,,21,6,9,5,4,1,,,,1,,,,,,
2024-11-22 09:32:30,1,anonymous,5,1,3,5,6,2,4,7,1,35,1,,,,,,,,,1,,,,11,6,6,2,3,1,,,,1,,,,,,
2024-11-22 09:33:50,1,anonymous,5,1,3,5,6,2,4,7,1,50,1,,,,,,,,,1,,,,16,6,7,4,2,3,,,,1,,,,,,
2024-11-22 09:03:42,1,anonymous,5,1,3,5,6,2,4,7,3,34,2,,,,,,,,,1,,,,9,5,10,3,4,1,,,,1,,,,,,
2024-11-22 09:32:38,1,anonymous,5,1,3,5,6,2,4,7,4,52,2,1,,,,,,,,,,,,4,5,8,2,4,1,,,,1,,,,,,
2024-11-22 09:07:24,1,anonymous,5,1,3,5,6,2,4,7,1,38,1,1,,,,,,,,,,,,12,5,7,7,3,1,,,,1,,,,,,
2024-11-22 10:00:10,1,anonymous,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-22 09:44:29,1,anonymous,5,1,3,5,6,6,4,7,1,26,2,,,1,,,,,,,,,,8,5,4,5,2,1,,,,1,,,,,,
2024-11-22 09:41:11,1,anonymous,5,1,3,5,6,6,4,7,2,34,2,,,,,,,,,1,,,,21,6,7,5,3,1,,,,1,,,,,,
2024-11-22 09:38:00,1,anonymous,5,1,3,3,6,2,4,7,2,54,1,,,,,,,,,1,,,,11,6,6,2,3,1,,,,1,,,,,,
2024-11-22 09:49:58,1,anonymous,5,1,3,2,7,2,4,5,5,43,2,,,,,,,,,1,,,,8,5,8,4,2,3,,,,1,,,,,,
2024-11-22 09:25:57,1,anonymous,5,1,3,5,6,2,4,7,4,26,1,1,,,,,,,,,,,,6,,,2,4,1,,,,1,,,,,,
2024-11-22 09:44:31,1,anonymous,5,1,3,5,6,2,4,7,2,53,2,,,,,,,,,1,,,,21,6,7,2,1,2,,1,,,,,,,,
2024-11-22 09:47:19,1,anonymous,5,1,3,5,5,2,4,7,3,35,2,,,,,,,,,1,,,,21,5,8,7,4,1,,,,1,,,,,,
2024-11-22 09:35:58,1,anonymous,5,1,3,5,6,2,4,7,3,29,1,1,,,,,,,,,,,,5,5,5,5,4,1,,,,1,,,,,,
2024-11-22 09:43:48,1,anonymous,5,1,3,5,6,2,4,7,3,20,1,,,,,,,,,1,,,,5,5,6,2,3,1,,,,1,,,,,,
2024-11-22 09:23:34,1,anonymous,5,1,3,3,6,2,4,7,1,29,2,,,1,,,,,,,,,,8,2,5,4,2,1,,,,1,,,,,,
2024-11-22 10:07:10,1,anonymous,5,1,3,5,6,2,4,6,5,45,1,,,,,,,,,1,,,,15,6,10,7,4,1,,,,1,,,,,,
2024-11-22 09:50:49,1,anonymous,5,1,3,5,6,2,4,7,1,49,1,,,,,,,,,1,,,,3,3,5,4,1,1,,,,,,,,,1,
2024-11-22 10:02:16,1,anonymous,5,1,3,5,6,2,4,7,1,32,2,,,,,,,,,1,,,,11,5,4,2,2,2,1,,,,,,,,,
2024-11-22 10:10:11,1,anonymous,5,1,3,5,6,2,4,7,1,34,1,,,,,,,,,1,,,,6,5,4,3,1,2,,1,,,,,,,,
2024-11-22 10:01:35,1,anonymous,5,1,3,5,6,2,4,7,1,27,1,1,,1,,,,,,,,,,2,2,1,4,1,2,1,1,,,,,,,,
2024-11-22 10:12:04,1,anonymous,5,1,3,5,6,2,4,7,5,21,1,1,,,,,,,,,,,,4,5,6,4,4,1,,,,,,,1,,,
2024-11-22 10:04:14,1,anonymous,5,1,5,5,6,6,4,7,2,36,2,,,,,,,,,1,,,,3,3,3,4,3,1,,,,1,,,,,,
2024-11-22 10:11:49,1,anonymous,5,1,3,5,6,2,4,7,1,27,2,,,,,,,,,1,,,,6,5,7,6,4,1,,,,,,1,,,,
2024-11-22 10:08:23,1,anonymous,5,1,3,5,6,2,4,7,1,40,1,,,,,,,,,1,,,,21,6,7,5,3,1,,,,1,,,,,,
2024-11-22 09:50:41,1,anonymous,5,1,3,5,6,2,4,7,2,24,2,1,,,,,,,,,,,,8,5,6,4,4,1,,,,1,,,,,,
2024-11-22 09:59:31,1,anonymous,5,1,3,5,6,2,4,7,1,36,1,1,,,,,,,,,,,,5,6,6,4,3,1,,,,1,,,,,,
2024-11-22 10:19:20,1,anonymous,5,1,3,5,6,2,4,7,1,42,1,,,,,,,,,1,,,,11,5,7,5,4,1,,,,1,,,,,,
2024-11-22 09:14:16,1,anonymous,5,1,3,3,2,2,4,7,1,43,2,,,1,,,,,,,,,,15,4,7,4,1,2,1,,,,,,,,,
2024-11-22 10:05:42,1,anonymous,5,1,5,5,6,6,4,7,1,26,1,1,,,,,,,,,,,,7,2,3,1,1,2,,1,,,,,,,,
2024-11-22 10:00:58,1,anonymous,5,1,5,5,6,6,4,7,4,44,1,1,,,,,,,,,,,,13,5,6,2,4,1,,,,1,,,,,,
2024-11-22 10:03:18,1,anonymous,5,1,3,5,6,2,4,7,1,52,2,,,,,,,,,1,,,,15,3,5,1,2,3,1,,,,,,,,,
2024-11-22 10:26:28,1,anonymous,5,1,3,5,6,2,4,7,1,23,1,,,,,,,,,1,,,,2,3,3,2,2,1,,,,1,,,,,,
2024-11-22 10:09:18,1,anonymous,5,1,3,5,6,2,4,7,2,33,2,,,,,,,,,1,,,,12,6,8,7,3,1,,,,1,,,,,,
2024-11-22 10:02:57,1,anonymous,5,1,3,5,6,2,4,7,3,56,1,1,,,,,,,,,,,,13,6,6,2,3,1,,,,1,,,,,,
2024-11-22 10:12:54,1,anonymous,5,1,3,5,2,2,4,7,3,45,2,,,,,,,,,1,,,,8,4,4,4,3,1,,,,1,,,,,,
2024-11-22 10:15:25,1,anonymous,5,1,5,5,1,5,5,7,2,24,2,1,1,1,,,,,,,,,,2,6,6,4,4,1,,,1,1,,,,,,
2024-11-22 10:51:38,1,anonymous,5,1,3,5,6,2,4,7,1,33,2,,,,,,,,,1,,,,11,5,7,5,1,2,1,,,,,,,,,
2024-11-22 08:57:29,0,anonymous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-22 09:17:22,0,anonymous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-22 09:46:23,0,anonymous,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
